id,source_path,silver_count,predicted_count,intersection_count,missing_count,extra_count,exact_match,under_label,over_label,jaccard,missing_labels,extra_labels
item_0062,mit_linear_algebra_md/fall2000/final-fall-00/final-fall-00.md,4,16,4,0,12,0,0,1,0.25,,basis_dimension|change_of_basis|column_space|diagonalization|least_squares|linear_maps|linear_systems|nullspace|positive_definite|projection|rank|svd
item_0063,mit_linear_algebra_md/fall2002/final/final.md,4,16,4,0,12,0,0,1,0.25,,change_of_basis|column_space|determinants|diagonalization|eigenvalues|least_squares|linear_maps|linear_systems|orthogonality|positive_definite|projection|svd
item_0064,mit_linear_algebra_md/fall2008/final1806-f08/final1806-f08.md,4,2,1,3,1,0,1,0,0.2,basis_dimension|column_space|linear_maps,linear_systems
item_0065,mit_linear_algebra_md/fall2010/final-1806-f10/final-1806-f10.md,4,16,4,0,12,0,0,1,0.25,,change_of_basis|column_space|diagonalization|least_squares|linear_maps|linear_systems|nullspace|orthogonality|positive_definite|projection|rank|row_reduction
item_0067,mit_linear_algebra_md/fall2017/final/final.md,4,16,4,0,12,0,0,1,0.25,,basis_dimension|change_of_basis|determinants|diagonalization|eigenvalues|least_squares|linear_maps|nullspace|positive_definite|rank|row_reduction|svd
item_0068,mit_linear_algebra_md/spring1998/final-98/final-98.md,4,16,4,0,12,0,0,1,0.25,,change_of_basis|determinants|diagonalization|eigenvalues|least_squares|linear_maps|linear_systems|orthogonality|positive_definite|projection|rank|svd
item_0069,mit_linear_algebra_md/spring2007/final/final.md,4,16,4,0,12,0,0,1,0.25,,basis_dimension|change_of_basis|column_space|diagonalization|least_squares|linear_systems|nullspace|positive_definite|projection|rank|row_reduction|svd
item_0070,mit_linear_algebra_md/spring2008/final-1806-S08/final-1806-S08.md,4,16,4,0,12,0,0,1,0.25,,change_of_basis|column_space|determinants|diagonalization|least_squares|linear_maps|linear_systems|nullspace|positive_definite|projection|rank|svd
item_0072,flipped_md/inclass/jc/Five-IId/Five-IId.md,3,16,3,0,13,0,0,1,0.188,,basis_dimension|column_space|determinants|diagonalization|least_squares|linear_systems|nullspace|orthogonality|positive_definite|projection|rank|row_reduction|svd
item_0073,flipped_md/inclass/map/Three-IIb/Three-IIb.md,3,16,3,0,13,0,0,1,0.188,,basis_dimension|change_of_basis|determinants|diagonalization|eigenvalues|least_squares|nullspace|orthogonality|positive_definite|projection|rank|row_reduction|svd
item_0074,flipped_md/inclass/map/Three-V/Three-V.md,3,1,1,2,0,0,1,0,0.333,basis_dimension|row_reduction,
item_0075,flipped_md/inclass/map/Three-Vb/Three-Vb.md,3,10,2,1,8,0,0,1,0.182,basis_dimension,diagonalization|eigenvalues|least_squares|linear_systems|orthogonality|positive_definite|projection|svd
item_0077,slides_md/three/three_i/three_i.md,5,16,5,0,11,0,0,1,0.312,,determinants|diagonalization|eigenvalues|least_squares|nullspace|orthogonality|positive_definite|projection|rank|row_reduction|svd
item_0078,slides_md/three/three_ii/three_ii.md,5,16,5,0,11,0,0,1,0.312,,change_of_basis|determinants|diagonalization|eigenvalues|least_squares|linear_systems|orthogonality|positive_definite|projection|row_reduction|svd
item_0079,slides_md/three/three_ii_allproofs/three_ii_allproofs.md,5,10,3,2,7,0,0,1,0.25,basis_dimension|column_space,change_of_basis|diagonalization|least_squares|orthogonality|positive_definite|projection|svd
item_0080,slides_md/three/three_ii_allproofs/three_ii_allproofs.md,5,12,2,3,10,0,0,1,0.133,basis_dimension|column_space|linear_maps,change_of_basis|determinants|diagonalization|eigenvalues|least_squares|linear_systems|orthogonality|positive_definite|projection|svd
item_0082,slides_md/three/three_ii_handout/three_ii_handout.md,5,3,2,3,1,0,1,0,0.333,basis_dimension|column_space|nullspace,least_squares
item_0083,slides_md/three/three_ii_handout/three_ii_handout.md,5,13,3,2,10,0,0,1,0.2,basis_dimension|column_space,change_of_basis|determinants|diagonalization|eigenvalues|least_squares|linear_systems|orthogonality|positive_definite|projection|svd
item_0084,slides_md/three/three_iii_allproofs/three_iii_allproofs.md,5,16,5,0,11,0,0,1,0.312,,column_space|diagonalization|eigenvalues|least_squares|linear_maps|linear_systems|orthogonality|positive_definite|projection|row_reduction|svd
item_0085,flipped_md/inclass/determinants/Four-I/Four-I.md,2,16,2,0,14,0,0,1,0.125,,basis_dimension|change_of_basis|column_space|diagonalization|eigenvalues|least_squares|linear_maps|linear_systems|nullspace|orthogonality|positive_definite|projection|rank|svd
item_0087,flipped_md/inclass/map/Three-Ib/Three-Ib.md,2,16,2,0,14,0,0,1,0.125,,change_of_basis|column_space|determinants|diagonalization|eigenvalues|least_squares|linear_maps|nullspace|orthogonality|positive_definite|projection|rank|row_reduction|svd
item_0088,flipped_md/inclass/map/Three-V/Three-V.md,2,16,2,0,14,0,0,1,0.125,,column_space|determinants|diagonalization|eigenvalues|least_squares|linear_maps|linear_systems|nullspace|orthogonality|positive_definite|projection|rank|row_reduction|svd
item_0089,flipped_md/inclass/map/Three-Va/Three-Va.md,2,16,2,0,14,0,0,1,0.125,,column_space|determinants|diagonalization|eigenvalues|least_squares|linear_maps|linear_systems|nullspace|orthogonality|positive_definite|projection|rank|row_reduction|svd
item_0090,flipped_md/inclass/map/Three-Va/Three-Va.md,2,16,2,0,14,0,0,1,0.125,,column_space|determinants|diagonalization|eigenvalues|least_squares|linear_maps|linear_systems|nullspace|orthogonality|positive_definite|projection|rank|row_reduction|svd
item_0092,flipped_md/inclass/map/Three-Vb/Three-Vb.md,2,2,1,1,1,0,0,0,0.333,basis_dimension,linear_systems
item_0093,slides_md/five/five_ii/five_ii.md,4,3,2,2,1,0,1,0,0.4,basis_dimension|change_of_basis,linear_maps
item_0094,slides_md/two/two_iii/two_iii.md,4,6,4,0,2,0,0,1,0.667,,column_space|nullspace
item_0095,flipped_md/handin/midterm/midterm.md,1,16,1,0,15,0,0,1,0.062,,basis_dimension|change_of_basis|column_space|determinants|diagonalization|eigenvalues|least_squares|linear_maps|nullspace|orthogonality|positive_definite|projection|rank|row_reduction|svd
item_0097,flipped_md/inclass/linear-systems/One-I-3/One-I-3.md,1,16,1,0,15,0,0,1,0.062,,basis_dimension|change_of_basis|column_space|determinants|diagonalization|eigenvalues|least_squares|linear_maps|nullspace|orthogonality|positive_definite|projection|rank|row_reduction|svd
item_0098,flipped_md/inclass/linear-systems/inclass-describe/inclass-describe.md,1,16,1,0,15,0,0,1,0.062,,basis_dimension|change_of_basis|column_space|determinants|diagonalization|eigenvalues|least_squares|linear_maps|nullspace|orthogonality|positive_definite|projection|rank|row_reduction|svd
item_0099,slides_md/five/five_ii/five_ii.md,3,16,3,0,13,0,0,1,0.188,,column_space|determinants|eigenvalues|least_squares|linear_maps|linear_systems|nullspace|orthogonality|positive_definite|projection|rank|row_reduction|svd
item_0100,slides_md/five/five_ii/five_ii.md,3,16,3,0,13,0,0,1,0.188,,basis_dimension|column_space|determinants|diagonalization|least_squares|linear_maps|nullspace|orthogonality|positive_definite|projection|rank|row_reduction|svd
