condition,query_type,concept,query,success_at_1,success_at_5,first_hit_rank,reciprocal_rank,ndcg_at_5,top_source,top_role,top_score
lexical,multi_concept_review,orthogonality,Give an exam-style explanation that connects orthogonality to earlier concepts.,0,1,2,0.5,0.6934,mit_linear_algebra_md/fall2010/final-1806-f10-solution/final-1806-f10-solution.md,solution,0.07799
lexical,direct_concept,projection,Explain projection for a final exam review.,0,1,2,0.5,0.6509,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.17881
lexical,worked_example,projection,Find a worked example involving projection.,1,1,1,1.0,1.0,mit_linear_algebra_md/spring2007/final/final.md,exam,0.14272
lexical,misconception,projection,What common mistake do students make with projection?,1,1,1,1.0,1.0,mit_linear_algebra_md/fall2011/final_f11/final_f11.md,exam,0.09432
lexical,vague_student_question,projection,I am confused about when to use projection; what should I review first?,1,1,1,1.0,0.8503,mit_linear_algebra_md/spring2007/final/final.md,exam,0.12491
lexical,multi_concept_review,projection,Give an exam-style explanation that connects projection to earlier concepts.,1,1,1,1.0,0.8772,mit_linear_algebra_md/fall2010/final-1806-f10-solution/final-1806-f10-solution.md,solution,0.12754
lexical,direct_concept,least_squares,Explain least squares for a final exam review.,0,0,0,0.0,0.0,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.17598
lexical,worked_example,least_squares,Find a worked example involving least squares.,0,1,2,0.5,0.6934,mit_linear_algebra_md/spring2022/finalsol/finalsol.md,solution,0.09863
lexical,misconception,least_squares,What common mistake do students make with least squares?,0,0,0,0.0,0.0,mit_linear_algebra_md/spring2010/18.06-Final-Answers-Sp2010-FN/18.06-Final-Answers-Sp2010-FN.md,solution,0.07016
lexical,vague_student_question,least_squares,I am confused about when to use least squares; what should I review first?,0,1,5,0.2,0.3869,slides_md/three/three_iii_allproofs/three_iii_allproofs.md,lecture,0.11587
lexical,multi_concept_review,least_squares,Give an exam-style explanation that connects least squares to earlier concepts.,1,1,1,1.0,1.0,mit_linear_algebra_md/spring2019/final/final.md,exam,0.12277
lexical,direct_concept,positive_definite,Explain positive definite matrices for a final exam review.,1,1,1,1.0,0.9829,mit_linear_algebra_md/spring2015/FinalExamSp15/FinalExamSp15.md,exam,0.18577
lexical,worked_example,positive_definite,Find a worked example involving positive definite.,1,1,1,1.0,1.0,mit_linear_algebra_md/spring2013/Examfblank/Examfblank.md,exam,0.32114
lexical,misconception,positive_definite,What common mistake do students make with positive definite?,1,1,1,1.0,0.9558,mit_linear_algebra_md/spring2013/Examfblank/Examfblank.md,exam,0.18638
lexical,vague_student_question,positive_definite,I am confused about when to use positive definite; what should I review first?,1,1,1,1.0,1.0,mit_linear_algebra_md/spring2013/Examfblank/Examfblank.md,exam,0.29667
lexical,multi_concept_review,positive_definite,Give an exam-style explanation that connects positive definite matrices to earlier concepts.,1,1,1,1.0,1.0,mit_linear_algebra_md/spring2013/Examfblank/Examfblank.md,exam,0.1682
lexical,direct_concept,svd,Explain singular value decomposition for a final exam review.,1,1,1,1.0,0.9558,mit_linear_algebra_md/spring2005/final-1806-S05/final-1806-S05.md,exam,0.1916
lexical,worked_example,svd,Find a worked example involving SVD.,1,1,1,1.0,1.0,mit_linear_algebra_md/fall2001没找到答案/f_1806F01/f_1806F01.md,lecture,0.09778
lexical,misconception,svd,What common mistake do students make with SVD?,0,1,3,0.3333,0.5438,mit_linear_algebra_md/spring2010/18.06-Final-Answers-Sp2010-FN/18.06-Final-Answers-Sp2010-FN.md,solution,0.06827
lexical,vague_student_question,svd,I am confused about when to use SVD; what should I review first?,1,1,1,1.0,0.8503,mit_linear_algebra_md/spring2019/finalsol/finalsol.md,solution,0.10602
lexical,multi_concept_review,svd,Give an exam-style explanation that connects singular value decomposition to earlier concepts.,1,1,1,1.0,1.0,mit_linear_algebra_md/spring2005/final-1806-S05/final-1806-S05.md,exam,0.18007
lexical,exam_fragment,row_reduction,Retrieve material that would help solve this exam-style task: Closed book exam (and no Calculators). Answer all 7 questions in the space provided (or direct us to the answer). Solutions will be posted outside the offices of Professor Kac (2–178) and Professor Axelrod (2–247) who ar,0,1,3,0.3333,0.5,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,exam,0.64738
lexical,exam_fragment,column_space,Retrieve material that would help solve this exam-style task: $$M^{-1}A_4M = \begin{pmatrix} 1 & & & \\ & -1 & & \\ & & 1 & \\ & & & -1 \end{pmatrix} \begin{pmatrix} 0 & 1 & 0 & 0 \\ 1 & 0 & 2 & 0 \\ 0 & 2 & 0 & 3 \\ 0 & 0 & 3 & 0 \end{pmatrix} \begin{pmatrix} 1 & & & \\ & -1 & & \,0,0,0,0.0,0.0,slides_md/three/three_iv/three_iv.md,lecture,0.5164
lexical,exam_fragment,nullspace,Retrieve material that would help solve this exam-style task: - (a) What are the dimensions of R(A) and N(A) and $N\left(A^{T}\right)$ ? - (b) True or False or Undecidable for this $A\colon\thinspace Ax=\begin{pmatrix} 0\\1\\0 \end{pmatrix}$ is solvable. Give a reason! - (c) How do,1,1,1,1.0,1.0,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,exam,0.303
lexical,exam_fragment,rank,"Retrieve material that would help solve this exam-style task: - 7. (c) Circle True or False: if A has repeated eigenvalues, it is always possible to find an orthonormal basis for its column space. - 7. (d) Circle True or False: if $v_1,\ldots,v_n$ is a basis for $R^n$ and $b=c_1v_1",1,1,1,1.0,0.8503,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,exam,0.73473
lexical,exam_fragment,rank,"Retrieve material that would help solve this exam-style task: - 6 (13 pts.) In each case give all the information you can about the eigenvalues and eigenvectors, when the matrix A has the following property: - (a) The powers $A^k$ approach the zero matrix. - (b) The matrix is symme",1,1,1,1.0,1.0,mit_linear_algebra_md/fall1999/final-solu-fall-99/final-solu-fall-99.md,solution,0.47373
lexical,exam_fragment,rank,Retrieve material that would help solve this exam-style task: - 1 (a) Explain why every eigenvector of A is either in the column space C(A) or the nullspace N(A) (or explain why this is false). - (b) From $A = S\Lambda S^{-1}$ find the eigenvalue matrix and the eigenvector matrix f,1,1,1,1.0,0.9558,mit_linear_algebra_md/fall2000/final-fall-00/final-fall-00.md,exam,0.30235
lexical,exam_fragment,row_reduction,"Retrieve material that would help solve this exam-style task: $$R = \left[ \begin{array}{rrrr} 1 & 3 & 0 & 2 \\ 0 & 0 & 1 & 5 \\ 0 & 0 & 0 & 0 \end{array} \right]$$ - (a) The four subspaces associated with the original A are N(A), C(A), $N(A^{T})$ , and $C(A^{T})$ . Give the dimens",1,1,1,1.0,0.906,mit_linear_algebra_md/fall2000/final-fall-00/final-fall-00.md,exam,0.28341
lexical,exam_fragment,rank,"Retrieve material that would help solve this exam-style task: - (b) Find as many eigenvectors as possible, with the best possible properties. Are there 4 independent eigenvectors? Are there 4 orthonormal eigenvectors? - (c) What is the rank of A + 2I? What is the determinant of A +",1,1,1,1.0,1.0,mit_linear_algebra_md/fall2000/final-fall-00/final-fall-00.md,exam,0.32248
lexical,exam_fragment,row_reduction,"Retrieve material that would help solve this exam-style task: - (a) Find an orthonormal basis $\boldsymbol{q}_1,\,\boldsymbol{q}_2$ for S by Gram-Schmidt. - (b) Write down the 3 by 3 matrix P which projects vectors perpendicularly onto S. - (c) Show how the properties of P (what ar",0,0,0,0.0,0.0,mit_linear_algebra_md/fall2002/final/final.md,exam,0.40487
lexical,exam_fragment,basis_dimension,"Retrieve material that would help solve this exam-style task: $$L = \begin{bmatrix} 1 & 0 & 0 \\ 2 & 1 & 0 \\ -2 & 3 & 1 \end{bmatrix}, U = \begin{bmatrix} 5 & 0 & 5 & 1 \\ 0 & 3 & 3 & 0 \\ 0 & 0 & 0 & 0 \end{bmatrix}.$$ (a) What are the dimensions of the 4 fundamental subspaces as",0,1,2,0.5,0.6934,mit_linear_algebra_md/spring2021/Final Solutions/Final Solutions.md,solution,0.60016
lexical,exam_fragment,row_reduction,Retrieve material that would help solve this exam-style task: - 2 (12 pts.) Keep the same matrix A as in Problem 1. - (a) Find the matrix P that projects any vector in $\mathbb{R}^4$ onto the subspace spanned by the first column of A. - (b) Describe the null space of I-P and the nu,1,1,1,1.0,0.9197,mit_linear_algebra_md/fall2005/final-1806-F05/final-1806-F05.md,exam,0.36347
lexical,exam_fragment,nullspace,Retrieve material that would help solve this exam-style task: - (b) An orthogonal set of 4 eigenvectors is \_\_\_\_\_\_ - (c) CIRCLE every class of matrices to which this matrix A belongs: 7 (12 pts.) Suppose A is 2 by 3 with this Singular Value Decomposition $U\Sigma V^{\mathrm{T},1,1,1,1.0,1.0,mit_linear_algebra_md/fall2005/final-1806-F05/final-1806-F05.md,exam,0.44819
lexical,exam_fragment,rank,"Retrieve material that would help solve this exam-style task: 3 (3+3+5=11 pts.) (a) A and B are any matrices with the same number of rows. What can you say (and explain why it is true) about the comparison of $\operatorname{rank} \, \operatorname{of} \, A \qquad \qquad \operatornam",1,1,1,1.0,1.0,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,exam,0.45113
lexical,exam_fragment,basis_dimension,"Retrieve material that would help solve this exam-style task: - (a) Compute $x^{T}x$ and also $x^{T}Ax$ in terms of the c's and $\lambda$ 's. - (b) Looking at the ratio of $x^{T}Ax$ in part (a) divided by $x^{T}x$ in part (a), what c's would make that ratio as large as possible? Yo",1,1,1,1.0,0.9197,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,exam,0.43701
lexical,exam_fragment,column_space,"Retrieve material that would help solve this exam-style task: - (a) How do you find the best least squares solution $\widehat{x}$ to Ax = b? By taking those steps, give me a formula (letters not numbers) for $\widehat{x}$ and also for $p = A\widehat{x}$ . - (b) The projection p is ",1,1,1,1.0,0.8503,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,exam,0.36086
lexical,exam_fragment,row_reduction,"Retrieve material that would help solve this exam-style task: $$A = \begin{bmatrix} 0 & 1 & 0 \\ 0 & 0 & 1 \\ 0 & 0 & p \end{bmatrix}.$$ - (a) What are the eigenvalues of A (possibly in terms of p)? - (b) If p is not 0, find an eigenvector that is not in the nullspace. - (c) What a",0,1,4,0.25,0.4307,mit_linear_algebra_md/spring1998/final-solu-98/final-solu-98.md,solution,0.30452
lexical,exam_fragment,eigenvalues,"Retrieve material that would help solve this exam-style task: (a) (4 pts.) There are two values of c that make A a projection matrix. Find them by guessing, calculating, or understanding projection matrices. Check that A is a projection matrix for these two c. (b) (4 pts.) There ar",1,1,1,1.0,0.9047,mit_linear_algebra_md/fall2011/final_f11/final_f11.md,exam,0.46732
lexical,exam_fragment,basis_dimension,"Retrieve material that would help solve this exam-style task: b) (5 pts.) What is $\kappa$ , the ratio of the maximum and minimum values of ||Ax|| over the unit circle ||x|| = 1? c) (6 pts.) What are the maximum and minimum value of $v^T x$ , for x over the unit circle ||x|| = 1, w",1,1,1,1.0,0.9197,mit_linear_algebra_md/fall2013/final_f13/final_f13.md,exam,0.56324
lexical,exam_fragment,rank,Retrieve material that would help solve this exam-style task: Consider the vector space of symmetric $2 \times 2$ matrices of the form $$S = \left(\begin{array}{cc} x & z \\ z & y \end{array}\right).$$ b) (6 pts.) If D is the diagonal matrix $D = \begin{pmatrix} d & 0 \\ 0 & e \end,1,1,1,1.0,1.0,mit_linear_algebra_md/fall2013/final_f13/final_f13.md,exam,0.39248
lexical,exam_fragment,rank,"Retrieve material that would help solve this exam-style task: - (a) Any solution x of Ax = b is a sum of a vector in the space of A and a vector in the in the space of A. - (b) If Ax = b is solvable for any b, then it might be a (circle one) 10 × 3 or 3 × 10 matrix with rank r = . ",1,1,1,1.0,1.0,mit_linear_algebra_md/fall2022/final/final.md,exam,0.47991
lexical,exam_fragment,rank,"Retrieve material that would help solve this exam-style task: - **6** Suppose $u_1, u_2, u_3$ is an orthonormal basis for $\mathbf{R}^3$ and $v_1, v_2$ is an orthonormal basis for $\mathbf{R}^2$ . - (a) (5 points) What is the rank, what are all vectors in the column space, and what",1,1,1,1.0,0.8529,mit_linear_algebra_md/spring1998/final-98/final-98.md,exam,0.44703
lexical,exam_fragment,row_reduction,"Retrieve material that would help solve this exam-style task: - 2 Suppose A is a 5 by 7 matrix,and Ax = b has a solution for every right side b. - (a) (3 points) What do we know about the column space ofA? - (b) (3 points) What do we know about the rows of A? - (c) (3 points) What ",1,1,1,1.0,1.0,mit_linear_algebra_md/spring1999/final-99/final-99.md,exam,0.41721
lexical,exam_fragment,linear_systems,"Retrieve material that would help solve this exam-style task: - (a) (3 points) How do you know that the third column of A contains all zeros? - (b) (3 points) Find the matrix A. - (c) (3 points) By transposing $S^{-1}AS = \wedge$ , find the eigenvectors $y_1, y_2, y_3$ of $A^T$ . (",0,0,0,0.0,0.0,mit_linear_algebra_md/spring1999/final-99/final-99.md,exam,0.36043
lexical,exam_fragment,row_reduction,"Retrieve material that would help solve this exam-style task: - (b) (3 points) In solving part (a), you might start with a vector like $a_3 = (0,0,1)$ and find $q_3$ . Which vectors $a_3$ would not work as starting vectors to find $q_3$ by Gram-Schmidt? How many different real vect",0,0,0,0.0,0.0,mit_linear_algebra_md/spring1999/final-99/final-99.md,exam,0.45435
lexical,exam_fragment,row_reduction,Retrieve material that would help solve this exam-style task: | 1) | M2 | 2-131 | I. Ben-Yaacov | 2-101 | 3-3299 | pezz | |----|-----|-------|---------------|-------|--------|----------| | 2) | М3 | 2-131 | I. Ben-Yaacov | 2-101 | 3-3299 | pezz | | 3) | М3 | 2-132 | A. Oblomkov | 2,1,1,1,1.0,1.0,mit_linear_algebra_md/spring2004/final_1806_S04/final_1806_S04.md,exam,0.49795
lexical,exam_fragment,rank,Retrieve material that would help solve this exam-style task: What does it mean for a set of vectors to be a vector space? - (c) What is the nullspace of a 5 by 4 matrix with linearly independent columns? What is the nullspace of a 4 by 5 matrix with linearly independent columns? $,0,1,2,0.5,0.6934,mit_linear_algebra_md/spring2004/final_sol_1806_S04/final_sol_1806_S04.md,solution,0.4781
lexical,exam_fragment,rank,Retrieve material that would help solve this exam-style task: - 5 (a) Suppose $A^{T}Ax = 0$ . This tells us that Ax is in the \_\_\_\_\_ space of $A^{T}$ . Always Ax is in the \_\_\_\_\_ space of A. Why can you conclude that Ax = 0? - (b) Supposing again that $A^{T}Ax = 0$ we immed,1,1,1,1.0,1.0,mit_linear_algebra_md/spring2004/final_1806_S04/final_1806_S04.md,exam,0.51476
lexical,exam_fragment,linear_systems,"Retrieve material that would help solve this exam-style task: - 1 (10 pts.) Suppose $P_1, \ldots, P_n$ are points in $\mathbb{R}^n$ . The coordinates of $P_i$ are $(a_{i1}, a_{i2}, \ldots, a_{in})$ . We want to find a hyperplane $c_1x_1 + \cdots + c_nx_n = 1$ that contains all n po",1,1,1,1.0,1.0,mit_linear_algebra_md/spring2005/final-1806-S05/final-1806-S05.md,exam,0.5956
lexical,exam_fragment,nullspace,"Retrieve material that would help solve this exam-style task: (a) P is a projection matrix onto a subspace of dimension 1, so the eigenvalues are 1, 0, 0. (b) $$\begin{pmatrix} 1/\sqrt{2} \\ 0 \\ -1\sqrt{2} \end{pmatrix}, \begin{pmatrix} 1/\sqrt{6} \\ -2/\sqrt{6} \\ 1/\sqrt{6} \end",0,0,0,0.0,0.0,mit_linear_algebra_md/spring2007/final/final.md,exam,0.60454
lexical,exam_fragment,rank,"Retrieve material that would help solve this exam-style task: - (a) Find the eigenvalues $\lambda_1, \lambda_2$ of A. Find the eigenvectors $x_1, x_2$ with second entry equal to 1 so that $x_1 = (z_1, 1)$ and $x_2 = (z_2, 1)$ . - (b) What is the inner product of those eigenvectors?",0,1,3,0.3333,0.5,mit_linear_algebra_md/spring2008/final-1806-S08-soln/final-1806-S08-soln.md,solution,0.44352
lexical,exam_fragment,eigenvalues,Retrieve material that would help solve this exam-style task: A has a singular value decomposition $A=U\Sigma V^{\rm T}.$ Then $A=(UV^{\rm T})(V\Sigma V^{\rm T}).$ - (a) Show that $UV^{\mathrm{T}}$ is an orthogonal matrix Q (what is the test for an orthogonal matrix?). - (b) Show t,1,1,1,1.0,0.9558,mit_linear_algebra_md/spring2008/final-1806-S08/final-1806-S08.md,exam,0.49744
lexical,exam_fragment,linear_systems,"Retrieve material that would help solve this exam-style task: 1 (18 pts.) A sequence of numbers $f_0, f_1, f_2, \ldots$ is defined by the recurrence with starting values $f_0 = 1$ , $f_1 = 1$ . (Thus, the first few terms in the sequence are $1, 1, 2, 5, 13, 34, 89, \ldots$ ) - (a) ",0,0,0,0.0,0.0,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,exam,0.5752
lexical,exam_fragment,rank,"Retrieve material that would help solve this exam-style task: - (a) Find an orthonormal basis for C(A) using Gram-Schmidt, forming the columns of a matrix Q. - (b) Write each step of your Gram-Schmidt process from (a) as a multiplication of A on the \_\_\_\_\_\_ (left or right) by ",1,1,1,1.0,0.9675,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,exam,0.49489
lexical,exam_fragment,basis_dimension,"Retrieve material that would help solve this exam-style task: (a) Find the eigenvalues of $A^TA$ and also of $AA^T$ . For both matrices find a complete set of orthonormal eigenvectors. (b) If you apply the Gram-Schmidt process (orthonormalization) to the columns of this matrix A, w",0,1,4,0.25,0.5013,mit_linear_algebra_md/spring2010/18.06-Final-Answers-Sp2010-FN/18.06-Final-Answers-Sp2010-FN.md,solution,0.19364
